,Monocytes90_Breast10,Adipo60Kidney30Prost10,Eryth50Lung25GI25
Monocytes_EPIC,0.900,0.000,0.000
B-cells_EPIC,0.000,0.000,0.000
CD4T-cells_EPIC,0.000,0.000,0.000
NK-cells_EPIC,0.000,0.000,0.000
CD8T-cells_EPIC,0.000,0.000,0.000
Neutrophils_EPIC,0.000,0.000,0.000
Erythrocyte_progenitors,0.000,0.000,0.500
Adipocytes,0.000,0.600,0.000
Cortical_neurons,0.000,0.000,0.000
Hepatocytes,0.000,0.000,0.000
Lung_cells,0.000,0.000,0.250
Pancreatic_beta_cells,0.000,0.000,0.000
Pancreatic_acinar_cells,0.000,0.000,0.000
Pancreatic_duct_cells,0.000,0.000,0.000
Vascular_endothelial_cells,0.000,0.000,0.000
Colon_epithelial_cells,0.000,0.000,0.000
Left_atrium,0.000,0.000,0.000
Bladder,0.000,0.000,0.000
Breast,0.100,0.000,0.000
Head_and_neck_larynx,0.000,0.000,0.000
Kidney,0.000,0.300,0.000
Prostate,0.000,0.100,0.000
Thyroid,0.000,0.000,0.000
Upper_GI,0.000,0.000,0.250
Uterus_cervix,0.000,0.000,0.000
